Datetime,Open,High,Low,Close,Volume,Ticker
2024-09-06 09:30:00-04:00,177.30499267578125,178.36500549316406,177.05999755859375,178.27000427246094,1320018,AMZN
2024-09-06 09:31:00-04:00,178.28990173339844,178.2899932861328,177.80999755859375,177.9199981689453,113388,AMZN
2024-09-06 09:32:00-04:00,177.88009643554688,177.9665069580078,177.35000610351562,177.40499877929688,138362,AMZN
2024-09-06 09:33:00-04:00,177.4600067138672,177.89999389648438,177.3101043701172,177.3300018310547,114403,AMZN
2024-09-06 09:34:00-04:00,177.33999633789062,177.77000427246094,177.2100067138672,177.61000061035156,95734,AMZN
2024-09-06 09:35:00-04:00,177.66000366210938,177.72999572753906,177.360595703125,177.39999389648438,96201,AMZN
2024-09-06 09:36:00-04:00,177.44000244140625,177.7100067138672,177.3000030517578,177.32000732421875,122574,AMZN
2024-09-06 09:37:00-04:00,177.33999633789062,177.36000061035156,176.77999877929688,177.00999450683594,141714,AMZN
2024-09-06 09:38:00-04:00,177.00999450683594,177.14999389648438,176.77999877929688,176.8699951171875,98728,AMZN
2024-09-06 09:39:00-04:00,176.89500427246094,177.0,176.61000061035156,176.97999572753906,108173,AMZN
2024-09-06 09:40:00-04:00,176.9907989501953,177.1300048828125,176.75,176.85000610351562,87091,AMZN
2024-09-06 09:41:00-04:00,176.86500549316406,177.13499450683594,176.60000610351562,177.13499450683594,95369,AMZN
2024-09-06 09:42:00-04:00,177.13150024414062,177.27999877929688,177.04010009765625,177.2205047607422,78090,AMZN
2024-09-06 09:43:00-04:00,177.24000549316406,177.47999572753906,177.1699981689453,177.18499755859375,82496,AMZN
2024-09-06 09:44:00-04:00,177.1699981689453,177.47000122070312,177.13999938964844,177.45989990234375,70640,AMZN
2024-09-06 09:45:00-04:00,177.63999938964844,177.63999938964844,177.63999938964844,177.63999938964844,76964,AMZN
2024-09-06 09:46:00-04:00,177.63999938964844,177.65480041503906,177.22000122070312,177.4199981689453,40038,AMZN
2024-09-06 09:48:00-04:00,177.5800018310547,177.61000061035156,177.33999633789062,177.35000610351562,198217,AMZN
2024-09-06 09:49:00-04:00,177.34609985351562,177.36500549316406,176.9741973876953,176.9741973876953,90447,AMZN
2024-09-06 09:50:00-04:00,177.0,177.0,176.7100067138672,176.80499267578125,137592,AMZN
2024-09-06 09:51:00-04:00,176.79379272460938,176.83999633789062,176.5500030517578,176.57000732421875,86460,AMZN
2024-09-06 09:52:00-04:00,176.56500244140625,176.75999450683594,176.36000061035156,176.6652069091797,109517,AMZN
2024-09-06 09:53:00-04:00,176.63499450683594,176.8000030517578,176.3699951171875,176.3800048828125,60572,AMZN
2024-09-06 09:54:00-04:00,176.38999938964844,176.40499877929688,176.22999572753906,176.2899932861328,92898,AMZN
2024-09-06 09:55:00-04:00,176.30999755859375,176.375,176.0500030517578,176.13999938964844,118667,AMZN
2024-09-06 09:56:00-04:00,176.1199951171875,176.24000549316406,176.0,176.02999877929688,110641,AMZN
2024-09-06 09:57:00-04:00,176.02000427246094,176.3699951171875,175.94000244140625,176.3249969482422,62531,AMZN
2024-09-06 09:58:00-04:00,176.33270263671875,176.3441925048828,176.14999389648438,176.21060180664062,35972,AMZN
2024-09-06 09:59:00-04:00,176.2100067138672,176.27999877929688,175.69000244140625,175.71499633789062,98632,AMZN
2024-09-06 10:00:00-04:00,175.72500610351562,175.72500610351562,175.36000061035156,175.5800018310547,149909,AMZN
2024-09-06 10:01:00-04:00,175.5782012939453,175.8800048828125,175.50999450683594,175.77000427246094,108775,AMZN
2024-09-06 10:02:00-04:00,175.80430603027344,175.8800048828125,175.69000244140625,175.75999450683594,71275,AMZN
2024-09-06 10:03:00-04:00,175.75990295410156,175.85499572753906,175.6300048828125,175.6750030517578,69226,AMZN
2024-09-06 10:04:00-04:00,175.66000366210938,175.7100067138672,175.4600067138672,175.5948028564453,102779,AMZN
2024-09-06 10:05:00-04:00,175.63499450683594,175.94000244140625,175.63499450683594,175.72500610351562,51314,AMZN
2024-09-06 10:06:00-04:00,175.72000122070312,175.77000427246094,175.58999633789062,175.61000061035156,37518,AMZN
2024-09-06 10:07:00-04:00,175.6199951171875,175.89999389648438,175.5113983154297,175.75999450683594,69737,AMZN
2024-09-06 10:08:00-04:00,175.75,175.89500427246094,175.72999572753906,175.78750610351562,49053,AMZN
2024-09-06 10:09:00-04:00,175.7550048828125,175.7550048828125,175.2899932861328,175.3249969482422,124408,AMZN
2024-09-06 10:10:00-04:00,175.32000732421875,175.64529418945312,175.17999267578125,175.42010498046875,154081,AMZN
2024-09-06 10:11:00-04:00,175.42999267578125,175.4600067138672,175.02999877929688,175.1999969482422,140813,AMZN
2024-09-06 10:12:00-04:00,175.1750030517578,175.22889709472656,175.0,175.08999633789062,112144,AMZN
2024-09-06 10:13:00-04:00,175.07000732421875,175.11500549316406,174.8699951171875,175.00399780273438,100125,AMZN
